state,district,year,max_murder
KERALA,MALAPPURAM,2003,18
PUNJAB,KHANNA,2003,18
"TAMIL NADU",NILGIRIS,2003,18
"UTTAR PRADESH",ST.RAVIDASNAGAR,2003,18
"WEST BENGAL","HOWRAH CITY",2003,18
CHHATTISGARH,DHAMTARI,2004,18
"HIMACHAL PRADESH",KANGRA,2004,18
"JAMMU & KASHMIR",AWANTIPORA,2004,18
JHARKHAND,JAMTARA,2004,18
KERALA,ALAPUZHA,2004,18
KERALA,KOTTAYAM,2004,18
KERALA,PATHANAMTHITTA,2004,18
"MADHYA PRADESH",NEEMUCH,2004,18
ODISHA,BERHAMPUR,2004,18
RAJASTHAN,RAJSAMAND,2004,18
ASSAM,HAILAKANDI,2005,18
"MADHYA PRADESH",DINDORI,2005,18
"MADHYA PRADESH",UMARIYA,2005,18
RAJASTHAN,RAJSAMAND,2005,18
RAJASTHAN,"SAWAI MADHOPUR",2005,18
"TAMIL NADU","TRICHY URBAN",2005,18
CHANDIGARH,CHANDIGARH,2005,18
ASSAM,HAILAKANDI,2006,18
ASSAM,N.C.HILLS,2006,18
"JAMMU & KASHMIR",RAMBAN,2006,18
KERALA,PATHANAMTHITTA,2006,18
"MADHYA PRADESH",MANDSAUR,2006,18
MEGHALAYA,"GARO HILLS EAST",2006,18
ODISHA,BERHAMPUR,2006,18
PUNJAB,FARIDKOT,2006,18
PUNJAB,"NAWAN SHAHR",2006,18
RAJASTHAN,CHURU,2006,18
RAJASTHAN,"JAIPUR EAST",2006,18
"TAMIL NADU","THIRUNELVELI URBAN",2006,18
"UTTAR PRADESH",G.R.P.,2006,18
GOA,"SOUTH GOA",2007,18
GUJARAT,PATAN,2007,18
HARYANA,PANCHKULA,2007,18
HARYANA,REWARI,2007,18
"JAMMU & KASHMIR",RAMBAN,2007,18
"MADHYA PRADESH",NEEMUCH,2007,18
MIZORAM,AIZAWL,2007,18
"TAMIL NADU",KARUR,2007,18
TRIPURA,DHALAI,2007,18
CHHATTISGARH,NARAYANPUR,2008,18
"JAMMU & KASHMIR",BARAMULLA,2008,18
KARNATAKA,"UTTAR KANNADA",2008,18
"MADHYA PRADESH","ASHOK NAGAR",2008,18
MAHARASHTRA,"AMRAVATI COMMR.",2008,18
MAHARASHTRA,RATNAGIRI,2008,18
MANIPUR,CHURACHANDPUR,2008,18
RAJASTHAN,BARMER,2008,18
GUJARAT,NAVSARI,2009,18
HARYANA,MEWAT,2009,18
"HIMACHAL PRADESH",SHIMLA,2009,18
"JAMMU & KASHMIR",DODA,2009,18
"JAMMU & KASHMIR",JAMMU,2009,18
KARNATAKA,"UTTAR KANNADA",2009,18
MAHARASHTRA,"SOLAPUR COMMR.",2009,18
MEGHALAYA,"KHASI HILLS WEST",2009,18
ODISHA,BERHAMPUR,2009,18
PUNJAB,"FATEHGARH SAHIB",2009,18
"UTTAR PRADESH",G.R.P.,2009,18
CHHATTISGARH,DHAMTARI,2010,18
CHHATTISGARH,NARAYANPUR,2010,18
MANIPUR,"IMPHAL WEST",2010,18
MANIPUR,THOUBAL,2010,18
ODISHA,DEOGARH,2010,18
RAJASTHAN,DUNGARPUR,2010,18
RAJASTHAN,"JAIPUR SOUTH",2010,18
RAJASTHAN,"KOTA RURAL",2010,18
"UTTAR PRADESH",SHRAWASTI,2010,18
UTTARAKHAND,NAINITAL,2010,18
HARYANA,PANCHKULA,2011,18
"JAMMU & KASHMIR",JAMMU,2011,18
"MADHYA PRADESH",BURHANPUR,2011,18
PUNJAB,"SBS NAGAR",2011,18
"UTTAR PRADESH",SHRAWASTI,2011,18
"UTTAR PRADESH",SONBHADRA,2011,18
CHHATTISGARH,MUNGELI,2012,18
GUJARAT,AMRELI,2012,18
GUJARAT,PATAN,2012,18
GUJARAT,PORBANDAR,2012,18
"HIMACHAL PRADESH",SHIMLA,2012,18
KARNATAKA,CHAMARAJNAGAR,2012,18
KARNATAKA,"DHARWAD COMMR.",2012,18
KERALA,"THRISSUR RURAL",2012,18
"MADHYA PRADESH",NEEMUCH,2012,18
MAHARASHTRA,"SOLAPUR COMMR.",2012,18
ODISHA,BOUDH,2012,18
PUNJAB,BARNALA,2012,18
RAJASTHAN,BUNDI,2012,18
TRIPURA,GOMATI,2012,18
"MADHYA PRADESH",HARDA,2007,17
MAHARASHTRA,SINDHUDURG,2007,17
MANIPUR,SENAPATI,2007,17
NAGALAND,MOKOKCHUNG,2007,17
ODISHA,NUAPADA,2007,17
RAJASTHAN,"JAIPUR NORTH",2007,17
"UTTAR PRADESH",CHANDOLI,2007,17
HARYANA,PANCHKULA,2008,17
KERALA,PATHANAMTHITTA,2008,17
MAHARASHTRA,"SOLAPUR COMMR.",2008,17
PUNJAB,FARIDKOT,2008,17
PUNJAB,"FATEHGARH SAHIB",2008,17
RAJASTHAN,BUNDI,2008,17
RAJASTHAN,"JAIPUR SOUTH",2008,17
RAJASTHAN,RAJSAMAND,2008,17
CHANDIGARH,CHANDIGARH,2008,17
CHHATTISGARH,NARAYANPUR,2009,17
"JAMMU & KASHMIR",POONCH,2009,17
KARNATAKA,"DHARWAD COMMR.",2009,17
"MADHYA PRADESH",SHEOPUR,2009,17
ODISHA,NUAPADA,2009,17
ODISHA,SONEPUR,2009,17
RAJASTHAN,"JAIPUR NORTH",2009,17
RAJASTHAN,"JODHPUR CITY",2009,17
ASSAM,N.C.HILLS,2010,17
GUJARAT,NARMADA,2010,17
KARNATAKA,"DHARWAD COMMR.",2010,17
KERALA,KOTTAYAM,2010,17
"MADHYA PRADESH",SHEOPUR,2010,17
"UTTAR PRADESH",MIRZAPUR,2010,17
BIHAR,"KATIHAR RLY.",2011,17
MANIPUR,"IMPHAL EAST",2011,17
MEGHALAYA,"KHASI HILLS WEST",2011,17
ODISHA,NUAPADA,2011,17
PUNJAB,FARIDKOT,2011,17
PUNJAB,KHANNA,2011,17
RAJASTHAN,"JAIPUR NORTH",2011,17
"TAMIL NADU",NILGIRIS,2011,17
"UTTAR PRADESH","SANT KABIRNAGAR",2011,17
UTTARAKHAND,NAINITAL,2011,17
ASSAM,BONGAIGAON,2012,17
CHHATTISGARH,DHAMTARI,2012,17
CHHATTISGARH,KABIRDHAM,2012,17
GOA,"SOUTH GOA",2012,17
GUJARAT,NARMADA,2012,17
HARYANA,FATEHABAD,2012,17
JHARKHAND,KODERMA,2012,17
ODISHA,SONEPUR,2012,17
PUNJAB,"FATEHGARH SAHIB",2012,17
RAJASTHAN,"JAIPUR SOUTH",2012,17
UTTARAKHAND,NAINITAL,2012,17
ASSAM,N.C.HILLS,2001,17
KARNATAKA,"UTTAR KANNADA",2001,17
"MADHYA PRADESH",NEEMUCH,2001,17
MAHARASHTRA,RATNAGIRI,2001,17
ODISHA,BALASORE,2001,17
PUNJAB,KHANNA,2001,17
PUNJAB,"NAWAN SHAHR",2001,17
RAJASTHAN,JALORE,2001,17
KARNATAKA,"DHARWAD COMMR.",2002,17
MEGHALAYA,"GARO HILLS WEST",2002,17
ODISHA,JHARSUGUDA,2002,17
UTTARAKHAND,ALMORA,2002,17
GUJARAT,PATAN,2003,17
JHARKHAND,JAMTARA,2003,17
MANIPUR,CHANDEL,2003,17
MANIPUR,SENAPATI,2003,17
MEGHALAYA,"KHASI HILLS WEST",2003,17
ODISHA,BHADRAK,2003,17
ODISHA,NOWRANGPUR,2003,17
PUNJAB,MANSA,2003,17
"TAMIL NADU","TRICHY URBAN",2003,17
ASSAM,DHEMAJI,2004,17
ASSAM,G.R.P.,2004,17
GOA,"SOUTH GOA",2004,17
HARYANA,REWARI,2004,17
"JAMMU & KASHMIR",KATHUA,2004,17
KARNATAKA,"DHARWAD COMMR.",2004,17
MEGHALAYA,"GARO HILLS WEST",2004,17
ODISHA,GAJAPATI,2004,17
RAJASTHAN,BUNDI,2004,17
"TAMIL NADU","COIMBATORE URBAN",2004,17
"UTTAR PRADESH",SHRAWASTI,2004,17
ASSAM,CHIRANG,2005,17
ASSAM,NALBARI,2005,17
BIHAR,KISHANGANJ,2005,17
BIHAR,SAHARSA,2005,17
"JAMMU & KASHMIR",HANDWARA,2005,17
KARNATAKA,RAILWAYS,2005,17
MEGHALAYA,RI-BHOI,2005,17
ODISHA,BERHAMPUR,2005,17
ODISHA,BHADRAK,2005,17
PUNJAB,FARIDKOT,2005,17
PUNJAB,"FATEHGARH SAHIB",2005,17
"TAMIL NADU","SALEM URBAN",2005,17
"UTTAR PRADESH",SIDHARTHNAGAR,2005,17
"UTTAR PRADESH",ST.RAVIDASNAGAR,2005,17
UTTARAKHAND,"PAURI GARHWAL",2005,17
"JAMMU & KASHMIR",HANDWARA,2006,17
"MADHYA PRADESH",NEEMUCH,2006,17
PUNJAB,"FATEHGARH SAHIB",2006,17
PUNJAB,KHANNA,2006,17
RAJASTHAN,SIROHI,2006,17
RAJASTHAN,TONK,2006,17
"TAMIL NADU",NILGIRIS,2006,17
"TAMIL NADU","TRICHY URBAN",2006,17
"UTTAR PRADESH",SIDHARTHNAGAR,2006,17
"ARUNACHAL PRADESH",LOHIT,2007,17
CHHATTISGARH,KABIRDHAM,2007,17
KARNATAKA,GADAG,2007,17
KARNATAKA,HAVERI,2007,17
KARNATAKA,RAILWAYS,2007,17
KERALA,KOTTAYAM,2007,17
"ARUNACHAL PRADESH",LOHIT,2001,16
GUJARAT,NARMADA,2001,16
"JAMMU & KASHMIR",KATHUA,2001,16
KARNATAKA,"DHARWAD COMMR.",2001,16
KARNATAKA,UDUPI,2001,16
MEGHALAYA,"GARO HILLS EAST",2001,16
MEGHALAYA,"KHASI HILLS WEST",2001,16
ODISHA,DEOGARH,2001,16
PUNJAB,"FATEHGARH SAHIB",2001,16
"TAMIL NADU","COIMBATORE URBAN",2001,16
"TAMIL NADU",NILGIRIS,2001,16
"TAMIL NADU",THENI,2001,16
"UTTAR PRADESH","SANT KABIRNAGAR",2001,16
CHHATTISGARH,DHAMTARI,2002,16
GUJARAT,NARMADA,2002,16
HARYANA,FATEHABAD,2002,16
MEGHALAYA,"KHASI HILLS WEST",2002,16
ODISHA,JAGATSINGHPUR,2002,16
"TAMIL NADU","COIMBATORE URBAN",2002,16
"ARUNACHAL PRADESH",LOHIT,2003,16
HARYANA,MAHENDRAGARH,2003,16
HARYANA,REWARI,2003,16
"JAMMU & KASHMIR",KATHUA,2003,16
KARNATAKA,GADAG,2003,16
MEGHALAYA,RI-BHOI,2003,16
PUNJAB,BARNALA,2003,16
RAJASTHAN,BARMER,2003,16
"A & N ISLANDS",ANDAMAN,2003,16
HARYANA,MAHENDRAGARH,2004,16
KARNATAKA,GADAG,2004,16
KARNATAKA,K.G.F.,2004,16
KARNATAKA,UDUPI,2004,16
MAHARASHTRA,RATNAGIRI,2004,16
MEGHALAYA,RI-BHOI,2004,16
PUNJAB,MUKTSAR,2004,16
"TAMIL NADU","MADURAI URBAN",2004,16
"UTTAR PRADESH",LALITPUR,2004,16
"WEST BENGAL","DAKSHIN DINAJPUR",2004,16
"DELHI UT",CENTRAL,2004,16
CHHATTISGARH,KABIRDHAM,2005,16
ODISHA,BOUDH,2005,16
"TAMIL NADU",THIRUVARUR,2005,16
"UTTAR PRADESH",BALRAMPUR,2005,16
"UTTAR PRADESH","SANT KABIRNAGAR",2005,16
"DELHI UT",G.R.P.(RLY),2005,16
BIHAR,"PATNA RLY.",2006,16
BIHAR,SHEOHAR,2006,16
GUJARAT,NAVSARI,2006,16
HARYANA,MEWAT,2006,16
"HIMACHAL PRADESH",SHIMLA,2006,16
"JAMMU & KASHMIR",KUPWARA,2006,16
JHARKHAND,JAMTARA,2006,16
KERALA,CBCID,2006,16
"MADHYA PRADESH",HARDA,2006,16
MAHARASHTRA,"MUMBAI RLY.",2006,16
MAHARASHTRA,RATNAGIRI,2006,16
ODISHA,JHARSUGUDA,2006,16
ODISHA,NOWRANGPUR,2006,16
"TAMIL NADU",THIRUVARUR,2006,16
UTTARAKHAND,"PAURI GARHWAL",2006,16
CHHATTISGARH,MAHASAMUND,2007,16
GUJARAT,W.RLY,2007,16
"HIMACHAL PRADESH",SIRMAUR,2007,16
KARNATAKA,"DHARWAD COMMR.",2007,16
"MADHYA PRADESH",BURHANPUR,2007,16
MANIPUR,CHANDEL,2007,16
MEGHALAYA,"KHASI HILLS WEST",2007,16
ODISHA,BERHAMPUR,2007,16
RAJASTHAN,"JODHPUR CITY",2007,16
"TAMIL NADU","SALEM URBAN",2007,16
"TAMIL NADU","THIRUNELVELI URBAN",2007,16
BIHAR,"MUZAFFARPUR RLY.",2008,16
"HIMACHAL PRADESH",SOLAN,2008,16
"JAMMU & KASHMIR",REASI,2008,16
MANIPUR,BISHNUPUR,2008,16
MEGHALAYA,"GARO HILLS WEST",2008,16
ODISHA,DEOGARH,2008,16
PUNJAB,"LUDHIANA RURAL",2008,16
RAJASTHAN,CHURU,2008,16
BIHAR,SHEIKHPURA,2009,16
GUJARAT,W.RLY,2009,16
MAHARASHTRA,"AMRAVATI COMMR.",2009,16
MANIPUR,BISHNUPUR,2009,16
MEGHALAYA,RI-BHOI,2009,16
ODISHA,BOUDH,2009,16
RAJASTHAN,TONK,2009,16
"TAMIL NADU","TRICHY URBAN",2009,16
"UTTAR PRADESH",MAHOBA,2009,16
GUJARAT,GANDHINAGAR,2010,16
KARNATAKA,K.G.F.,2010,16
KERALA,"KOZHIKODE RURAL",2010,16
"MADHYA PRADESH",BURHANPUR,2010,16
ODISHA,KHURDA,2010,16
PUNJAB,"FATEHGARH SAHIB",2010,16
ASSAM,N.C.HILLS,2011,16
BIHAR,"PATNA RLY.",2011,16
CHHATTISGARH,KABIRDHAM,2011,16
GUJARAT,PATAN,2011,16
PUNJAB,LUDHIANA,2011,16
RAJASTHAN,"JAIPUR SOUTH",2011,16
"UTTAR PRADESH",BALRAMPUR,2011,16
KARNATAKA,K.G.F.,2012,16
KERALA,MALAPPURAM,2012,16
MANIPUR,THOUBAL,2012,16
MEGHALAYA,"KHASI HILLS WEST",2012,16
ODISHA,JHARSUGUDA,2012,16
"TAMIL NADU","SALEM URBAN",2012,16
"UTTAR PRADESH","SANT KABIRNAGAR",2012,16
"WEST BENGAL","HOWRAH G.R.P.",2012,16
"MADHYA PRADESH",DINDORI,2007,15
UTTARAKHAND,CHAMOLI,2007,15
"A & N ISLANDS","A and N ISLANDS",2007,15
ASSAM,BONGAIGAON,2008,15
"HIMACHAL PRADESH",KULLU,2008,15
"HIMACHAL PRADESH",SHIMLA,2008,15
"HIMACHAL PRADESH",UNA,2008,15
KERALA,IDUKKI,2008,15
KERALA,"KOZHIKODE RURAL",2008,15
MEGHALAYA,RI-BHOI,2008,15
NAGALAND,MOKOKCHUNG,2008,15
RAJASTHAN,"JAIPUR EAST",2008,15
RAJASTHAN,TONK,2008,15
"UTTAR PRADESH",BALRAMPUR,2008,15
CHHATTISGARH,DHAMTARI,2009,15
CHHATTISGARH,MAHASAMUND,2009,15
GUJARAT,TAPI,2009,15
"JAMMU & KASHMIR",REASI,2009,15
KERALA,PATHANAMTHITTA,2009,15
MANIPUR,CHURACHANDPUR,2009,15
MANIPUR,THOUBAL,2009,15
NAGALAND,DIMAPUR,2009,15
RAJASTHAN,RAJSAMAND,2009,15
"TAMIL NADU",NILGIRIS,2009,15
"UTTAR PRADESH",BALRAMPUR,2009,15
"WEST BENGAL","SEALDAH G.R.P.",2009,15
"A & N ISLANDS",ANDAMAN,2009,15
ASSAM,MORIGAON,2010,15
BIHAR,"MUZAFFARPUR RLY.",2010,15
"JAMMU & KASHMIR",RAJOURI,2010,15
"JAMMU & KASHMIR",SRINAGAR,2010,15
KARNATAKA,UDUPI,2010,15
KERALA,IDUKKI,2010,15
KERALA,"TRIVANDRUM COMMR.",2010,15
KERALA,WAYANADU,2010,15
"TAMIL NADU","TRICHY URBAN",2010,15
"UTTAR PRADESH",SIDHARTHNAGAR,2010,15
"UTTAR PRADESH",SONBHADRA,2010,15
GOA,"SOUTH GOA",2011,15
"HIMACHAL PRADESH",CHAMBA,2011,15
JHARKHAND,JAMTARA,2011,15
KARNATAKA,RAILWAYS,2011,15
KERALA,"ERNAKULAM RURAL",2011,15
MAHARASHTRA,"AMRAVATI COMMR.",2011,15
MAHARASHTRA,RATNAGIRI,2011,15
NAGALAND,DIMAPUR,2011,15
ASSAM,G.R.P.,2012,15
ASSAM,N.C.HILLS,2012,15
CHHATTISGARH,BALOD,2012,15
HARYANA,"AMBALA URBAN",2012,15
HARYANA,PANCHKULA,2012,15
"HIMACHAL PRADESH",MANDI,2012,15
PUNJAB,MANSA,2012,15
RAJASTHAN,"JODHPUR WEST",2012,15
TRIPURA,SOUTH,2012,15
"WEST BENGAL","BDN CP",2012,15
ASSAM,DHEMAJI,2001,15
GUJARAT,PORBANDAR,2001,15
GUJARAT,W.RLY,2001,15
KERALA,WAYANADU,2001,15
ODISHA,JHARSUGUDA,2001,15
PUNJAB,BARNALA,2001,15
RAJASTHAN,RAJSAMAND,2001,15
CHANDIGARH,CHANDIGARH,2001,15
CHHATTISGARH,MAHASAMUND,2002,15
"HIMACHAL PRADESH",CHAMBA,2002,15
"HIMACHAL PRADESH",SHIMLA,2002,15
"JAMMU & KASHMIR",KATHUA,2002,15
KARNATAKA,GADAG,2002,15
KARNATAKA,UDUPI,2002,15
KERALA,CBCID,2002,15
ODISHA,NUAPADA,2002,15
PUNJAB,JAGRAON,2002,15
"UTTAR PRADESH",SIDHARTHNAGAR,2002,15
UTTARAKHAND,CHAMOLI,2002,15
"JAMMU & KASHMIR",GANDERBAL,2003,15
KARNATAKA,UDUPI,2003,15
"MADHYA PRADESH",SHEOPUR,2003,15
NAGALAND,DIMAPUR,2003,15
PUNJAB,MUKTSAR,2003,15
PUNJAB,"NAWAN SHAHR",2003,15
"TAMIL NADU","SALEM URBAN",2003,15
"UTTAR PRADESH",BALRAMPUR,2003,15
"UTTAR PRADESH",SHRAWASTI,2003,15
UTTARAKHAND,ALMORA,2003,15
UTTARAKHAND,"PAURI GARHWAL",2003,15
ASSAM,KAMRUP,2004,15
GUJARAT,NARMADA,2004,15
"JAMMU & KASHMIR",GANDERBAL,2004,15
KERALA,"TRIVANDRUM COMMR.",2004,15
"MADHYA PRADESH",HARDA,2004,15
ODISHA,DEOGARH,2004,15
ODISHA,JHARSUGUDA,2004,15
RAJASTHAN,BARMER,2004,15
"UTTAR PRADESH",G.R.P.,2004,15
BIHAR,"PATNA RLY.",2005,15
GUJARAT,NARMADA,2005,15
"HIMACHAL PRADESH",SHIMLA,2005,15
KARNATAKA,"DHARWAD COMMR.",2005,15
KERALA,"ERNAKULAM COMMR.",2005,15
MAHARASHTRA,SINDHUDURG,2005,15
NAGALAND,MON,2005,15
ODISHA,DEOGARH,2005,15
PUNJAB,JAGRAON,2005,15
RAJASTHAN,JALORE,2005,15
"TAMIL NADU",SIVAGANGAI,2005,15
"UTTAR PRADESH",G.R.P.,2005,15
ASSAM,BONGAIGAON,2006,15
GOA,"SOUTH GOA",2006,15
KERALA,KASARGOD,2006,15
MAHARASHTRA,SINDHUDURG,2006,15
MAHARASHTRA,"SOLAPUR COMMR.",2006,15
MEGHALAYA,"GARO HILLS WEST",2006,15
NAGALAND,MON,2006,15
ODISHA,SONEPUR,2006,15
RAJASTHAN,"JODHPUR CITY",2006,15
"TAMIL NADU","SALEM URBAN",2006,15
UTTARAKHAND,ALMORA,2006,15
ASSAM,BONGAIGAON,2007,15
BIHAR,"PATNA RLY.",2007,15
GOA,"NORTH GOA",2007,15
GUJARAT,NARMADA,2007,15
"HIMACHAL PRADESH",SHIMLA,2007,15
"JAMMU & KASHMIR",SRINAGAR,2007,15
CHHATTISGARH,DHAMTARI,2001,14
GOA,"SOUTH GOA",2001,14
"HIMACHAL PRADESH",SHIMLA,2001,14
"MADHYA PRADESH",HARDA,2001,14
MAHARASHTRA,SINDHUDURG,2001,14
"ARUNACHAL PRADESH",LOHIT,2002,14
BIHAR,"KATIHAR RLY.",2002,14
"JAMMU & KASHMIR",UDHAMPUR,2002,14
KARNATAKA,K.G.F.,2002,14
KARNATAKA,RAILWAYS,2002,14
PUNJAB,"FATEHGARH SAHIB",2002,14
"A & N ISLANDS",ANDAMAN,2002,14
ASSAM,MORIGAON,2003,14
CHHATTISGARH,DHAMTARI,2003,14
"HIMACHAL PRADESH",KULLU,2003,14
KERALA,"KOZHIKODE COMMR.",2003,14
"MADHYA PRADESH",DINDORI,2003,14
MAHARASHTRA,SINDHUDURG,2003,14
MANIPUR,CHURACHANDPUR,2003,14
MEGHALAYA,"GARO HILLS EAST",2003,14
MIZORAM,AIZAWL,2003,14
ODISHA,BOUDH,2003,14
ODISHA,KALAHANDI,2003,14
"TAMIL NADU",THIRUVARUR,2003,14
KERALA,KASARGOD,2004,14
"MADHYA PRADESH",DINDORI,2004,14
MEGHALAYA,"KHASI HILLS WEST",2004,14
ODISHA,NOWRANGPUR,2004,14
ODISHA,ROURKELA,2004,14
"TAMIL NADU",NILGIRIS,2004,14
"WEST BENGAL","SEALDAH G.R.P.",2004,14
"ARUNACHAL PRADESH",LOHIT,2005,14
GUJARAT,NAVSARI,2005,14
"TAMIL NADU","THIRUNELVELI URBAN",2005,14
"A & N ISLANDS",ANDAMAN,2005,14
CHHATTISGARH,KABIRDHAM,2006,14
GUJARAT,PATAN,2006,14
HARYANA,PANCHKULA,2006,14
"HIMACHAL PRADESH",CHAMBA,2006,14
KARNATAKA,K.G.F.,2006,14
KERALA,"TRIVANDRUM COMMR.",2006,14
MANIPUR,BISHNUPUR,2006,14
MANIPUR,CHANDEL,2006,14
NAGALAND,ZUNHEBOTO,2006,14
ODISHA,GAJAPATI,2006,14
"UTTAR PRADESH",BALRAMPUR,2006,14
CHHATTISGARH,DHAMTARI,2007,14
"HIMACHAL PRADESH",MANDI,2007,14
"HIMACHAL PRADESH",UNA,2007,14
JHARKHAND,JAMTARA,2007,14
KERALA,"ERNAKULAM COMMR.",2007,14
KERALA,KANNUR,2007,14
PUNJAB,G.R.P,2007,14
RAJASTHAN,"JAIPUR EAST",2007,14
GUJARAT,PATAN,2008,14
"JAMMU & KASHMIR",KATHUA,2008,14
MANIPUR,SENAPATI,2008,14
ODISHA,"DCP CTC",2008,14
ODISHA,GAJAPATI,2008,14
RAJASTHAN,"JAIPUR NORTH",2008,14
RAJASTHAN,"JODHPUR RURAL",2008,14
"UTTAR PRADESH",G.R.P.,2008,14
HARYANA,PANCHKULA,2009,14
KERALA,KANNUR,2009,14
"MADHYA PRADESH",BURHANPUR,2009,14
MIZORAM,AIZAWL,2009,14
RAJASTHAN,"JAIPUR SOUTH",2009,14
RAJASTHAN,"SAWAI MADHOPUR",2009,14
"UTTAR PRADESH",SIDHARTHNAGAR,2009,14
BIHAR,"KATIHAR RLY.",2010,14
"JAMMU & KASHMIR",BANDIPORA,2010,14
KARNATAKA,RAILWAYS,2010,14
KERALA,MALAPPURAM,2010,14
"MADHYA PRADESH",UMARIYA,2010,14
MAHARASHTRA,SINDHUDURG,2010,14
MANIPUR,BISHNUPUR,2010,14
RAJASTHAN,RAJSAMAND,2010,14
GUJARAT,NARMADA,2011,14
"HIMACHAL PRADESH",SOLAN,2011,14
"JAMMU & KASHMIR",SOPORE,2011,14
KARNATAKA,K.G.F.,2011,14
KERALA,"KOLLAM COMMR.",2011,14
"MADHYA PRADESH",SHEOPUR,2011,14
ODISHA,DEOGARH,2011,14
"TAMIL NADU",PERAMBALUR,2011,14
"UTTAR PRADESH",SIDHARTHNAGAR,2011,14
"A & N ISLANDS",ANDAMAN,2011,14
"D & N HAVELI","D and N HAVELI",2011,14
KARNATAKA,UDUPI,2012,14
KERALA,KASARGOD,2012,14
KERALA,"TRIVANDRUM COMMR.",2012,14
"MADHYA PRADESH",HARDA,2012,14
MANIPUR,"IMPHAL WEST",2012,14
PUNJAB,"CP JALANDHAR",2012,14
"TAMIL NADU",NILGIRIS,2012,14
"MADHYA PRADESH",UMARIYA,2007,13
MEGHALAYA,"GARO HILLS WEST",2007,13
RAJASTHAN,RAJSAMAND,2007,13
"TAMIL NADU",NILGIRIS,2007,13
"UTTAR PRADESH",ST.RAVIDASNAGAR,2007,13
"JAMMU & KASHMIR",POONCH,2008,13
"JAMMU & KASHMIR",SRINAGAR,2008,13
JHARKHAND,"DHANBAD RLY.",2008,13
KARNATAKA,K.G.F.,2008,13
KARNATAKA,RAILWAYS,2008,13
MANIPUR,CHANDEL,2008,13
MEGHALAYA,"KHASI HILLS WEST",2008,13
PUNJAB,BATALA,2008,13
RAJASTHAN,"JODHPUR CITY",2008,13
"TAMIL NADU","TRICHY URBAN",2008,13
ASSAM,BONGAIGAON,2009,13
GUJARAT,NARMADA,2009,13
JHARKHAND,JAMTARA,2009,13
"MADHYA PRADESH",NEEMUCH,2009,13
MEGHALAYA,"GARO HILLS WEST",2009,13
"WEST BENGAL","HOWRAH G.R.P.",2009,13
"TAMIL NADU",PERAMBALUR,2010,13
"UTTAR PRADESH",ST.RAVIDASNAGAR,2010,13
BIHAR,SHEOHAR,2011,13
CHHATTISGARH,DHAMTARI,2011,13
GUJARAT,TAPI,2011,13
"HIMACHAL PRADESH",KULLU,2011,13
"HIMACHAL PRADESH",MANDI,2011,13
KERALA,MALAPPURAM,2011,13
PUNJAB,"FATEHGARH SAHIB",2011,13
"UTTAR PRADESH",MAHOBA,2011,13
"WEST BENGAL","SEALDAH G.R.P.",2011,13
BIHAR,"KATIHAR RLY.",2012,13
CHHATTISGARH,GARIYABAND,2012,13
HARYANA,"AMBALA RURAL",2012,13
"JAMMU & KASHMIR",JAMMU,2012,13
"JAMMU & KASHMIR",SRINAGAR,2012,13
"DELHI UT",GRP(RLY),2012,13
ASSAM,G.R.P.,2001,13
BIHAR,"MUZAFFARPUR RLY.",2001,13
CHHATTISGARH,BALRAMPUR,2001,13
"HIMACHAL PRADESH",CHAMBA,2001,13
"HIMACHAL PRADESH",KULLU,2001,13
"MADHYA PRADESH",DINDORI,2001,13
ODISHA,NUAPADA,2001,13
SIKKIM,EAST,2001,13
"UTTAR PRADESH",SIDHARTHNAGAR,2001,13
UTTARAKHAND,CHAMOLI,2001,13
"A & N ISLANDS",ANDAMAN,2001,13
"HIMACHAL PRADESH",UNA,2002,13
MANIPUR,SENAPATI,2002,13
GUJARAT,NARMADA,2003,13
"HIMACHAL PRADESH",SOLAN,2003,13
KARNATAKA,RAILWAYS,2003,13
"MADHYA PRADESH",HARDA,2003,13
"MADHYA PRADESH",NEEMUCH,2003,13
ODISHA,BERHAMPUR,2003,13
CHHATTISGARH,KABIRDHAM,2004,13
GUJARAT,W.RLY,2004,13
KERALA,"ERNAKULAM COMMR.",2004,13
"TAMIL NADU","TRICHY URBAN",2004,13
"A & N ISLANDS",ANDAMAN,2004,13
CHHATTISGARH,NARAYANPUR,2005,13
HARYANA,GRP,2005,13
"HIMACHAL PRADESH",BILASPUR,2005,13
"JAMMU & KASHMIR",GANDERBAL,2005,13
"MADHYA PRADESH",NEEMUCH,2005,13
"MADHYA PRADESH",SHEOPUR,2005,13
PUNJAB,"NAWAN SHAHR",2005,13
GUJARAT,W.RLY,2006,13
KERALA,"ERNAKULAM COMMR.",2006,13
"MADHYA PRADESH",BURHANPUR,2006,13
MANIPUR,SENAPATI,2006,13
MEGHALAYA,RI-BHOI,2006,13
ODISHA,NUAPADA,2006,13
"JAMMU & KASHMIR",AWANTIPORA,2007,13
"JAMMU & KASHMIR",POONCH,2007,13
KERALA,"TRIVANDRUM COMMR.",2007,13
HARYANA,PANCHKULA,2001,12
KARNATAKA,RAILWAYS,2001,12
MAHARASHTRA,"MUMBAI RLY.",2001,12
MAHARASHTRA,"NAGPUR RLY.",2001,12
MIZORAM,AIZAWL,2001,12
NAGALAND,MOKOKCHUNG,2001,12
NAGALAND,WOKHA,2001,12
PUNJAB,FARIDKOT,2001,12
